FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed,censored
188,446,837,65.62813440973129,181.20271207868643,0.1287040885853223,0.6787769796436867,312,0,516,0,516,-9.659859251946677e-07,0.3723150357995227,0.0783151961929967,0.2162323533158549,0,0,327,472,30,1.0,eqopt,1,False
277,501,990,70.0070918191907,227.17611806297649,0.1032575495285452,0.5853146826440448,61,0,680,0,680,-1.3957387240909626e-06,0.0615539858728557,0.0706428777186586,0.2292392715065352,0,0,165,249,30,1.0,eqopt,2,False
220,520,1260,114.66572689335804,434.9797078359836,0.1410966820590605,0.6682213624334322,579,0,900,0,900,-6.772424687801125e-07,0.4591593973037272,0.0909323766006011,0.3449482219159267,0,0,611,783,30,1.0,eqopt,3,False
228,323,854,74.24681311258946,228.603810289865,0.1330301758872094,0.655923954609014,454,0,589,0,589,-1.0615353295950718e-06,0.5309941520467836,0.0868383779094613,0.2673728775320058,0,0,292,376,30,1.0,eqopt,4,False
226,464,1745,193.75216925493584,789.9250523991657,0.1512107585815829,0.7579572481415887,1167,0,1429,0,1429,-2.0363217945042845e-07,0.6683848797250859,0.1109691691036287,0.4524198467349173,0,0,747,959,30,1.0,eqopt,5,False
303,412,878,76.35980478659836,247.5630577501811,0.1315172746591922,0.6454296361209475,323,0,614,0,614,-9.281695312303573e-07,0.3674630261660978,0.086871222737882,0.2816417039251206,0,0,376,514,30,1.0,eqopt,6,False
219,401,1188,127.5226113625589,360.6426303300401,0.1507594151758143,0.662664669385312,385,0,982,0,982,-7.183318912996879e-07,0.3238015138772077,0.1072519860071984,0.3033159212195458,0,0,721,982,30,1.0,eqopt,7,False
341,592,727,35.790711526644145,113.89620212801871,0.0953138635750505,0.6375235364579146,169,0,273,0,273,-3.045270326048517e-06,0.2321428571428571,0.0491630652838518,0.1564508270989268,0,0,241,273,30,1.0,eqopt,8,False
134,216,247,10.424700826575537,19.239144617859044,0.0786398765882162,0.5853961678852143,14,0,79,0,79,-9.589346807466675e-06,0.0564516129032258,0.0420350839781271,0.0775771960397542,0,0,37,79,30,1.0,eqopt,9,False
168,382,1943,233.9818426279473,745.7761431367726,0.1535352922482885,0.6627785536427871,1191,0,1664,0,1664,-2.641672855758408e-07,0.6126543209876543,0.120361030158409,0.3836297032596567,0,0,637,1059,30,1.0,eqopt,10,False
247,396,1184,99.20723517956178,316.3027568970126,0.1298591520879296,0.626650207729753,331,0,852,0,852,-7.279711275548645e-07,0.2793248945147679,0.0837191858055373,0.2669221577189979,0,0,303,494,30,1.0,eqopt,11,False
153,314,734,80.99102931276757,208.9824968914854,0.1622092751034585,0.7503032443658041,397,0,555,0,555,-7.182402676718892e-07,0.5401360544217687,0.1101918766160102,0.2843299277435175,0,0,534,555,30,1.0,eqopt,12,False
197,303,683,56.9310251144524,139.93138003412972,0.1244266108684973,0.5810642558262558,52,0,472,0,472,-1.413927188674012e-06,0.0760233918128654,0.0832324928573865,0.2045780409855697,0,0,299,316,30,1.0,eqopt,13,False
