FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed
129,466,467,30.96650412330458,110.823552393767,0.12617404546509434,0.7289015280266428,328,15,428,67,361,-2.9711809676851405e-06,0.702355460385439,0.06630943067088775,0.23730953403376231,0,63,343,361,60,1.0,greedy,3
147,304,370,27.989857079671705,83.16902005560284,0.15342859288696128,0.7158884368202532,176,14,295,72,223,1.7458461362309441e-06,0.4756756756756757,0.07564826237749109,0.2247811352854131,0,65,205,223,60,1.0,greedy,4
121,274,1004,111.20562010486343,363.5217204884775,0.14430548164532406,0.8271242608520211,900,9,1010,56,954,-3.139362973631626e-07,0.896414342629482,0.11076256982556118,0.3620734267813521,0,51,944,954,60,1.0,greedy,5
100,288,288,15.527605946520458,32.49556007142716,0.13141136254312397,0.6630054246528144,151,12,250,56,194,-1.4915200704385956e-06,0.5243055555555556,0.05391529842541826,0.11283180580356651,0,52,183,194,60,1.0,greedy,6
103,274,848,78.99998163681511,220.65765505201918,0.11701558227168439,0.8275659274964141,724,9,814,49,765,-3.262866233535919e-07,0.8537735849056604,0.0931603557037914,0.2602094988820981,0,44,750,765,60,1.0,greedy,7
149,376,1343,138.88556352928398,891.2183916885842,0.1344573152428129,0.8956929378491699,1199,18,1339,69,1270,-2.5858299178198005e-07,0.892777364110201,0.10341441811562471,0.6636026743772034,0,58,1256,1270,60,1.0,greedy,8
136,438,583,46.2326834760184,224.02526495973322,0.13738924625230634,0.7880933771643834,442,20,544,77,467,-2.521211414138845e-06,0.758147512864494,0.07930134386967136,0.38426289015391635,0,68,450,467,60,1.0,greedy,9
107,281,996,108.96547272689423,495.86007146994734,0.14059206460527104,0.9094134732973521,841,14,983,67,916,-5.216100564562203e-07,0.8443775100401606,0.10940308506716288,0.4978514773794652,0,62,900,916,60,1.0,greedy,10
95,331,331,16.87935548399348,38.429758852225376,0.13206565726317088,0.6546695165837554,166,15,265,71,194,-2.189026508204991e-06,0.5015105740181269,0.05099503167369631,0.11610199049010687,0,65,183,194,60,1.0,greedy,11
82,348,1807,242.51625653489276,984.9938432504329,0.15197096965051424,0.7824577641900413,1732,15,1786,54,1732,-6.733854233326412e-08,0.9579646017699115,0.1341350976409805,0.544797479673912,0,44,418,427,60,1.0,greedy,12
129,434,518,41.69523025002917,195.67160302282335,0.13368959421589424,0.7740697426902938,406,17,508,69,439,-2.8607157835193686e-06,0.7837837837837838,0.0804927224904038,0.37774440737996784,0,61,421,439,60,1.0,greedy,13
132,258,1612,186.27634407775673,509.0401020973841,0.13623557466170066,0.6211329333162128,197,10,1574,49,1525,1.7232300506525411e-07,0.12213267203967762,0.11548440426395333,0.31558592814468944,0,42,255,265,60,1.0,greedy,14
97,588,3000,346.1654826025242,3136.7391255338744,0.13942797756037453,1.059416144574078,2832,23,2975,94,2881,-3.022653967608365e-07,0.944,0.11538849420084141,1.0455797085112915,0,83,2729,2754,60,1.0,mincost,0
98,533,3000,295.3317595842621,3503.0937134381375,0.11463322909733617,1.096190378494886,2777,27,2961,112,2849,-1.7597491584200514e-07,0.9256666666666666,0.0984439198614207,1.1676979044793792,0,102,1278,1299,60,1.0,mincost,1
92,794,3000,311.55528775513534,4205.37772949565,0.12030363652045432,1.1904894130378667,2839,20,2974,93,2881,-2.1205145766319372e-07,0.9463333333333334,0.10385176258504511,1.40179257649855,0,80,2874,2881,60,1.0,mincost,2
129,712,3000,198.29541232522922,4872.455378549995,0.1093371646885256,1.282409493640707,2779,35,2998,119,2879,-2.1312157993283937e-07,0.9263333333333333,0.06609847077507641,1.6241517928499982,0,110,1215,1246,60,1.0,mincost,3
169,535,3000,270.37989400543705,4112.611052631689,0.12106686713374464,1.1787212762379315,2830,23,3052,118,2934,-2.2589552487058054e-07,0.9433333333333334,0.09012663133514569,1.3708703508772295,0,111,2619,2632,60,1.0,mincost,4
